title,description

Inception,Sci-fi thriller about dreams and mind control
Interstellar,Space exploration and survival beyond Earth
The Dark Knight,Batman faces Joker in Gotham
Titanic,Romantic story on a sinking ship
Avengers,Superheroes unite to save the world
The Matrix,Virtual reality and AI rebellion
John Wick,Action packed revenge story
3 Idiots,College life friendship and innovation
Dangal,Wrestling journey of a father and daughters
Bahubali,Historical epic war drama
Fight Club,Psychological drama and underground fighting
Forrest Gump,Life journey of a simple man
Gladiator,Roman general seeks revenge
Joker,Origin story of Gotham villain
Iron Man,Tech genius becomes superhero
Thor,God of thunder saves Asgard
Captain America,Super soldier fights for justice
Black Panther,Wakanda king protects his nation
Doctor Strange,Magic and multiverse adventure
Spider-Man,Teen superhero balancing life
Harry Potter,Wizarding world and magic battles
Lord of the Rings,Fantasy quest to destroy ring
Hobbit,Adventure in middle earth
Shawshank Redemption,Hope and prison escape story
The Godfather,Mafia family crime drama
The Social Network,Story of Facebook creation
Parasite,Dark social satire thriller
RRR,Indian epic action drama
KGF,Gold mine crime story
Pushpa,Smuggling and rise of a laborer
Drishyam,Crime thriller with family twist
Andhadhun,Blind pianist mystery thriller
Zindagi Na Milegi Dobara,Travel friendship and life
Dil Chahta Hai,Modern friendship story
Kabir Singh,Intense love story
Rockstar,Musical journey of an artist
Tamasha,Self discovery and love
Barfi,Silent love story
Chhichhore,College nostalgia and life lessons
Lagaan,Cricket and British era drama
Swades,NRI returns to village
Gully Boy,Rapper rise story
URI,Military surgical strike story
Shershaah,Army officer biopic
War,Action spy thriller
Pathaan,Spy action movie
Jawan,Action drama with social message
Animal,Dark crime drama
Dune,Desert planet survival and politics
Tenet,Time inversion thriller
Oppenheimer,Atomic bomb story
Mission Impossible,Spy action missions
Fast and Furious,Street racing and heists
Transformers,Robots and action battles
Pirates of Caribbean,Pirate adventure fantasy
Frozen,Animated magical story
Coco,Music and afterlife story
Toy Story,Toys come alive adventure
Finding Nemo,Ocean journey of a fish
Up,Adventure of old man and kid
Inside Out,Emotions inside human mind
Minions,Comedy animated chaos
Kung Fu Panda,Martial arts panda hero
Madagascar,Animals adventure comedy
Ice Age,Prehistoric comedy adventure
